age,workclass,finalweigth,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,final
30,77,117747,39,9,58,82,100,14,34,0,1573,35,10,8
34,54,226296,17,13,58,80,46,98,56,0,0,40,95,9
29,54,115585,87,10,62,41,65,98,56,0,0,50,95,8
48,85,191277,26,16,58,79,46,98,56,0,1902,60,95,9
37,77,202683,87,10,58,82,46,98,56,0,0,48,95,9
48,77,171095,15,12,25,31,96,98,34,0,0,40,30,8
32,33,249409,39,9,62,68,70,18,56,0,0,40,95,8
76,77,124191,60,14,58,31,46,98,56,0,0,40,95,9
44,77,198282,17,13,58,31,46,98,56,15024,0,60,95,9
47,85,149116,60,14,62,79,65,98,34,0,0,50,95,8
20,77,188300,87,10,62,91,70,98,34,0,0,40,95,8
29,77,103432,39,9,62,23,65,98,56,0,0,40,95,8
32,84,317660,39,9,58,23,46,98,56,7688,0,40,95,9
17,10,304873,1,6,62,10,70,98,34,34095,0,32,95,8
30,77,194901,2,7,62,41,70,98,56,0,0,40,95,8
31,54,189265,39,9,62,11,65,98,34,0,0,40,95,8
42,77,124692,39,9,58,41,46,98,56,0,0,40,95,8
24,77,432376,17,13,62,82,67,98,56,0,0,40,95,8
38,77,65324,78,15,58,79,46,98,56,0,0,40,95,9
56,85,335605,39,9,58,68,46,98,56,0,1887,50,20,9
28,77,377869,87,10,58,82,100,98,34,4064,0,25,95,8
36,77,102864,39,9,62,55,70,98,34,0,0,40,95,8
53,77,95647,7,5,58,41,46,98,56,0,0,50,95,8
56,84,303090,87,10,58,82,46,98,56,0,0,50,95,8
49,54,197371,16,11,58,23,46,18,56,0,0,40,95,9
55,77,247552,87,10,58,82,46,98,56,0,0,56,95,8
22,77,102632,39,9,62,23,65,98,56,0,0,41,95,8
21,77,199915,87,10,62,68,70,98,34,0,0,40,95,8
40,77,118853,17,13,58,31,46,98,56,0,0,60,95,8
30,77,77143,17,13,62,31,70,18,56,0,0,40,36,8
29,89,267989,17,13,58,79,46,98,56,0,0,50,95,9
19,77,301606,87,10,62,68,70,18,56,0,0,35,95,8
47,77,287828,17,13,58,31,100,98,34,0,0,40,95,9
20,77,111697,87,10,62,11,70,98,34,0,1719,28,95,8
31,77,114937,15,12,58,11,46,98,56,0,0,40,95,9
35,10,129305,39,9,58,10,46,98,56,0,0,40,95,8
39,77,365739,87,10,25,23,65,98,56,0,0,40,95,8
28,77,69621,15,12,62,82,65,98,34,0,0,60,95,8
24,77,43323,39,9,62,68,65,98,34,0,1762,40,95,8
38,85,120985,39,9,58,23,46,98,56,4386,0,35,95,8
37,77,254202,17,13,58,82,46,98,56,0,0,50,95,8
46,77,146195,15,12,25,91,65,18,34,0,0,36,95,8
38,33,125933,60,14,58,79,46,98,56,0,0,40,48,9
43,85,56920,39,9,58,23,46,98,56,0,0,60,95,8
27,77,163127,16,11,58,11,100,98,34,0,0,35,95,8
20,77,34310,87,10,62,82,70,98,56,0,0,20,95,8
49,77,81973,87,10,58,23,46,14,56,0,0,40,95,9
61,84,66614,39,9,58,23,46,98,56,0,0,40,95,8
27,77,232782,87,10,62,82,70,98,34,0,0,40,95,8
19,77,316868,87,10,62,68,70,98,56,0,0,30,61,8
45,77,196584,16,11,62,79,65,98,34,0,1564,40,95,9
70,77,105376,87,10,62,91,67,98,56,0,0,40,95,8
31,77,185814,39,9,62,93,96,18,34,0,0,30,95,8
22,77,175374,87,10,58,68,46,98,56,0,0,24,95,8
36,77,108293,39,9,99,68,96,98,34,0,0,24,95,8
64,77,181232,2,7,58,23,46,98,56,0,2179,40,95,8
43,10,174662,87,10,25,10,65,98,34,0,0,40,95,8
47,54,186009,87,10,25,11,96,98,34,0,0,38,61,8
34,77,198183,39,9,62,11,65,98,34,0,0,40,95,8
33,77,163003,17,13,62,31,67,14,34,0,0,40,72,8
21,77,296158,39,9,62,23,70,98,56,0,0,35,95,8
52,10,252903,39,9,25,10,65,98,56,0,0,45,95,9
48,77,187715,39,9,58,23,46,98,56,0,0,46,95,8
23,77,214542,17,13,62,41,65,98,56,0,0,40,95,8
71,85,494223,87,10,86,82,96,18,56,0,1816,2,95,8
29,77,191535,39,9,25,23,65,98,56,0,0,60,95,8
42,77,228456,17,13,86,68,67,18,56,0,0,50,95,8
68,10,38317,4,2,25,10,65,98,34,0,0,20,95,8
25,77,252752,39,9,62,68,96,98,34,0,0,40,95,8
44,84,78374,60,14,25,31,96,14,34,0,0,40,95,8
28,77,88419,39,9,62,31,65,14,34,0,0,40,30,8
45,85,201080,60,14,58,82,46,98,56,0,0,40,95,9
36,77,207157,87,10,25,68,96,98,34,0,0,40,61,8
39,33,235485,15,12,62,31,65,98,56,0,0,42,95,8
46,89,102628,60,14,99,80,96,98,56,0,0,40,95,8
18,77,25828,2,7,62,41,70,98,56,0,0,16,95,8
66,54,54826,16,11,99,79,65,98,34,0,0,20,95,8
27,77,124953,39,9,62,68,65,98,56,0,1980,40,95,8
28,89,175325,39,9,58,80,46,98,56,0,0,40,95,8
51,77,96062,87,10,58,82,46,98,56,0,1977,40,95,9
27,77,428030,17,13,62,23,65,98,56,0,0,50,95,8
28,89,149624,17,13,58,79,46,98,56,0,0,40,95,9
27,77,253814,39,9,59,82,96,98,34,0,0,25,95,8
21,77,312956,39,9,62,23,70,18,56,0,0,40,95,8
34,77,483777,39,9,62,41,65,18,56,0,0,40,95,8
18,77,183930,39,9,62,68,70,98,56,0,0,12,95,8
33,77,37274,17,13,58,79,46,98,56,0,0,65,95,8
44,54,181344,87,10,58,31,46,18,56,0,0,38,95,9
43,77,114580,87,10,25,11,65,98,34,0,0,40,95,8
30,77,633742,87,10,62,23,65,18,56,0,0,45,95,8
40,77,286370,6,4,58,55,46,98,56,0,0,40,61,9
37,33,29054,87,10,58,11,46,98,56,0,0,42,95,9
34,77,304030,39,9,58,11,46,18,56,0,0,40,95,8
41,85,143129,17,13,25,31,65,98,34,0,0,40,95,8
53,10,135105,17,13,25,10,65,98,34,0,0,50,95,8
31,77,99928,60,14,58,79,100,98,34,0,0,50,95,8
58,89,109567,26,16,58,79,46,98,56,0,0,1,95,9
38,77,155222,87,10,25,55,65,18,34,0,0,28,95,8
24,77,159567,87,10,58,55,46,98,56,0,0,40,95,8
41,54,523910,17,13,58,23,46,18,56,0,0,40,95,8
47,77,120939,87,10,58,91,46,98,56,0,0,45,95,8
41,33,130760,17,13,58,91,46,98,56,0,0,24,95,8
23,77,197387,5,3,58,93,67,98,56,0,0,40,61,8
36,77,99374,87,10,25,23,65,98,56,0,0,40,95,8
40,33,56795,60,14,62,31,65,98,34,14084,0,55,95,9
35,77,138992,60,14,58,79,67,98,56,7298,0,40,95,9
24,85,32921,39,9,62,82,65,98,56,0,0,40,95,8
26,77,397317,60,14,62,79,65,98,34,0,1876,40,95,8
19,10,170653,39,9,62,10,70,98,56,0,0,40,50,8
51,77,259323,17,13,58,31,46,98,56,0,0,50,95,9
42,54,254817,87,10,62,79,65,98,34,0,1340,40,95,8
37,89,48211,39,9,25,11,96,98,34,0,0,35,95,8
18,77,140164,2,7,62,82,70,98,34,0,0,40,95,8
36,77,128757,17,13,58,68,46,18,56,7298,0,36,95,9
35,77,36270,39,9,25,23,65,98,56,0,0,60,95,8
58,84,210563,39,9,58,82,100,98,34,15024,0,35,95,9
17,77,65368,2,7,62,82,70,98,34,0,0,12,95,8
44,54,160943,39,9,58,93,46,18,56,0,0,40,95,8
37,77,208358,39,9,58,23,46,98,56,0,0,40,95,9
35,77,153790,87,10,62,82,65,12,34,0,0,40,95,8
60,77,85815,39,9,58,23,46,14,56,0,0,40,95,8
54,84,125417,6,4,58,55,46,98,56,0,0,40,95,9
37,77,635913,17,13,62,31,65,18,56,0,0,60,95,9
50,77,313321,15,12,25,82,65,98,34,0,0,40,95,8
38,77,182609,17,13,58,82,46,98,56,0,0,50,73,8
45,77,109434,17,13,58,79,46,98,56,0,0,55,95,8
25,77,255004,1,6,62,23,65,98,56,0,0,40,95,8
31,77,197860,87,10,58,41,46,98,56,0,0,40,95,8
64,10,187656,4,2,25,10,65,98,56,0,0,40,95,8
90,77,51744,39,9,62,68,65,18,56,0,2206,40,95,8
54,77,176681,39,9,58,11,46,18,56,0,0,20,95,8
53,54,140359,75,1,62,55,65,98,34,0,0,35,95,8
18,77,243313,39,9,62,82,70,98,34,0,0,40,95,8
60,10,24215,1,6,25,10,65,12,34,0,0,10,95,8
66,85,167687,39,9,58,32,46,98,56,1409,0,50,95,8
75,77,314209,16,11,99,11,65,98,34,0,0,20,22,8
65,77,176796,39,9,25,11,65,98,34,0,0,40,95,8
35,77,538583,2,7,86,93,65,18,56,3674,0,40,95,8
41,77,130408,39,9,25,82,96,18,34,0,0,38,95,8
25,77,159732,87,10,62,11,65,98,56,0,0,42,95,8
33,77,110978,87,10,25,23,67,66,34,0,0,40,95,8
28,77,76714,78,15,62,79,65,98,56,0,0,55,95,9
59,89,268700,39,9,58,68,46,98,56,0,0,40,95,8
40,89,170525,87,10,62,11,65,98,34,0,0,38,95,8
41,77,180138,17,13,58,31,46,98,56,0,0,50,48,9
38,54,115076,60,14,58,31,46,98,56,0,0,70,95,9
23,77,115458,39,9,62,93,70,98,56,0,0,40,95,8
40,77,347890,17,13,58,79,46,98,56,0,0,40,95,9
41,85,196001,39,9,58,68,100,98,34,0,0,20,95,8
24,89,273905,15,12,58,80,46,98,56,0,0,50,95,8
20,10,119156,87,10,62,10,70,98,56,0,0,20,95,8
38,77,179488,87,10,25,23,65,98,56,0,1741,40,95,8
56,77,203580,39,9,58,11,46,98,56,0,0,35,10,8
58,77,236596,39,9,58,11,46,98,56,0,0,45,95,9
32,77,183916,39,9,62,68,65,98,34,0,0,34,95,8
40,77,207578,15,12,58,91,46,98,56,0,1977,60,95,9
45,77,153141,39,9,58,11,46,98,56,0,0,40,10,8
41,77,112763,78,15,58,79,100,98,34,0,0,40,95,9
42,77,390781,17,13,58,11,100,18,34,0,0,40,95,8
59,54,171328,1,6,99,68,96,18,34,0,0,30,95,8
19,54,27382,87,10,62,11,70,98,56,0,0,40,95,8
58,77,259014,87,10,62,93,65,98,56,0,0,20,95,8
42,85,303044,39,9,58,32,46,14,56,0,0,40,19,9
20,77,117789,39,9,62,68,70,98,34,0,0,40,95,8
32,77,172579,39,9,86,68,65,98,34,0,0,30,95,8
45,77,187666,16,11,99,31,65,98,34,0,0,45,95,8
50,77,204518,6,4,25,23,65,98,56,0,0,40,95,8
36,77,150042,17,13,25,79,70,98,34,0,0,40,95,8
45,77,98092,39,9,58,82,46,98,56,0,0,60,95,8
17,77,245918,2,7,62,68,70,98,56,0,0,12,95,8
59,77,146013,87,10,58,82,46,98,56,4064,0,40,95,8
26,77,378322,2,7,58,23,46,98,56,0,0,40,95,8
37,84,257295,87,10,58,31,46,14,56,0,0,75,92,9
19,10,218956,87,10,62,10,70,98,56,0,0,24,20,8
64,77,21174,39,9,58,31,46,98,56,0,0,40,95,9
33,77,185480,17,13,62,79,65,98,34,0,0,45,95,8
33,77,222205,39,9,58,23,100,98,34,0,0,40,95,9
61,77,69867,39,9,58,31,46,98,56,0,0,40,95,9
17,77,191260,7,5,62,68,70,98,56,1055,0,24,95,8
50,85,30653,60,14,58,32,46,98,56,2407,0,98,95,8
27,54,209109,60,14,62,79,70,98,56,0,0,35,95,8
30,77,70377,39,9,25,79,70,98,34,0,0,40,95,8
43,77,477983,39,9,58,41,46,18,56,0,0,40,95,8
44,77,170924,87,10,58,23,46,98,56,7298,0,40,95,9
35,77,190174,87,10,62,31,65,98,34,0,0,40,95,8
25,77,193787,87,10,62,91,70,98,34,0,0,40,95,8
24,77,279472,87,10,58,55,100,98,34,7298,0,48,95,9
22,77,34918,17,13,62,79,65,98,34,0,0,15,36,8
42,54,97688,87,10,58,23,46,98,56,5178,0,40,95,9
34,77,175413,15,12,25,82,96,18,34,0,0,45,95,8
60,77,173960,17,13,25,79,65,98,34,0,0,42,95,8
21,77,205759,39,9,62,41,70,98,56,0,0,40,95,8
57,33,425161,60,14,58,82,46,98,56,15024,0,40,95,9
41,77,220531,78,15,58,79,46,98,56,0,0,60,95,9
50,77,176609,87,10,25,68,65,98,56,0,0,45,95,8
25,77,371987,17,13,62,31,65,98,34,0,0,40,95,8
50,77,193884,6,4,58,23,46,98,56,0,0,40,28,8
36,77,200352,17,13,58,79,46,98,56,0,0,45,95,8
31,77,127595,39,9,25,79,65,98,34,0,0,40,95,8
29,54,220419,17,13,62,80,65,98,56,0,0,56,95,8
21,77,231931,87,10,62,82,70,98,56,0,0,45,95,8
27,77,248402,17,13,62,91,96,18,34,0,0,40,95,8
65,77,111095,39,9,58,93,46,98,56,0,0,16,95,8
37,84,57424,17,13,25,82,65,98,34,0,0,60,95,8
39,10,157443,60,14,58,10,100,14,34,3464,0,40,10,8
24,77,278130,39,9,62,23,70,98,56,0,0,40,95,8
38,77,169469,39,9,25,82,65,98,56,0,0,80,95,8
48,77,146268,17,13,58,11,46,98,56,7688,0,40,95,9
21,77,153718,87,10,62,68,65,14,34,0,0,25,95,8
31,77,217460,39,9,58,93,46,98,56,0,0,45,95,9
55,77,238638,39,9,58,82,46,98,56,4386,0,40,95,9
24,77,303296,87,10,58,11,100,14,34,0,0,40,53,8
43,77,173321,39,9,25,11,65,98,34,0,0,40,95,8
26,77,193945,15,12,62,91,65,98,56,0,0,45,95,8
46,77,83082,15,12,62,79,65,98,34,0,0,33,95,8
35,77,193815,15,12,58,11,46,98,56,0,0,40,95,9
41,84,34987,87,10,58,32,46,98,56,0,0,54,95,9
26,77,59306,17,13,62,82,65,98,56,0,0,40,95,8
34,77,142897,60,14,58,31,46,14,56,7298,0,35,90,9
19,10,860348,87,10,62,10,70,18,34,0,0,25,95,8
36,85,205607,17,13,25,79,65,18,34,0,0,40,95,9
22,77,199698,87,10,62,82,70,98,56,0,0,15,95,8
24,77,191954,87,10,62,55,65,98,56,0,0,40,95,8
77,85,138714,87,10,58,82,46,98,56,0,0,40,95,8
22,77,399087,5,3,58,55,67,98,34,0,0,40,61,8
29,77,423158,87,10,62,91,65,98,34,0,0,40,95,8
62,77,159841,39,9,99,68,65,98,34,0,0,24,95,8
39,85,174308,39,9,58,31,46,98,56,0,0,40,95,8
43,77,50356,87,10,58,23,46,98,56,0,1485,50,95,8
35,77,186110,39,9,25,93,65,98,56,0,0,45,95,8
29,77,200381,2,7,62,31,65,98,34,0,0,40,95,8
76,85,174309,60,14,58,23,46,98,56,0,0,10,95,8
63,85,78383,39,9,58,32,46,98,56,0,0,45,95,8
23,10,211601,16,11,62,10,70,18,34,0,0,15,95,8
43,77,187728,87,10,58,79,100,98,34,0,1887,50,95,9
58,85,321171,39,9,58,41,46,98,56,0,0,40,95,8
66,77,127921,39,9,62,93,65,98,56,2050,0,55,95,8
41,77,206565,87,10,62,23,65,18,56,0,0,45,95,8
26,77,224563,17,13,62,11,65,98,56,0,0,40,95,8
47,77,178686,16,11,62,68,65,98,56,0,0,40,95,8
55,54,98545,1,6,58,11,46,98,56,0,0,40,95,8
53,77,242606,39,9,58,93,46,98,56,0,0,40,95,8
17,77,270942,5,3,62,68,67,98,56,0,0,48,61,8
30,77,94235,39,9,62,23,67,98,56,0,0,40,95,8
49,77,71195,60,14,62,79,65,98,56,0,0,60,95,8
19,77,104112,39,9,62,82,96,18,56,0,0,30,40,8
45,77,261192,39,9,58,68,46,18,56,0,0,40,95,8
26,77,94936,15,12,62,82,65,98,56,0,0,40,95,8
38,77,296478,16,11,58,23,46,98,56,7298,0,40,95,9
36,89,119272,39,9,58,80,46,98,56,7298,0,40,95,9
33,77,85043,39,9,62,32,65,98,56,0,0,20,95,8
22,89,293364,87,10,62,80,70,18,34,0,0,40,95,8
43,85,241895,17,13,62,82,65,98,56,0,0,42,95,8
67,10,36135,2,7,58,10,46,98,56,0,0,8,95,8
30,10,151989,16,11,25,10,96,98,34,0,0,40,95,8
56,77,101128,15,12,59,68,65,98,56,0,0,25,48,8
31,77,156464,17,13,62,79,70,98,56,0,0,25,95,8
33,77,117963,17,13,58,31,46,98,56,0,0,40,95,9
26,77,192262,39,9,58,68,46,98,56,0,0,40,95,8
33,77,111363,17,13,58,31,46,98,56,0,0,40,95,9
46,54,329752,2,7,58,93,46,98,56,0,0,30,95,8
59,10,372020,17,13,58,10,46,98,56,0,0,40,95,9
38,33,95432,39,9,58,11,46,98,56,0,0,40,95,9
65,77,161400,2,7,99,68,96,66,56,0,0,40,95,8
40,77,96129,16,11,58,91,46,98,56,0,0,40,95,9
42,77,111949,39,9,58,11,100,98,34,0,0,35,95,8
26,85,117125,7,5,58,23,46,98,56,0,0,40,74,8
36,77,348022,1,6,58,68,100,98,34,0,0,24,95,8
62,77,270092,60,14,58,79,46,98,56,0,0,40,95,9
43,77,180609,17,13,58,93,46,98,56,0,0,45,95,8
43,77,174575,17,13,25,31,65,98,56,0,1564,45,95,9
22,77,410439,39,9,59,82,65,98,56,0,0,55,95,8
28,77,92262,39,9,58,23,46,98,56,0,0,40,95,8
56,85,183081,87,10,58,82,46,98,56,0,0,45,95,8
22,77,362589,15,12,62,82,65,98,34,0,0,15,95,8
57,77,212448,17,13,25,31,65,98,34,0,0,45,95,9
39,77,481060,39,9,25,82,96,98,34,0,0,40,95,8
26,33,185885,87,10,62,11,96,98,34,0,0,15,95,8
17,77,89821,2,7,62,68,70,98,56,0,0,10,95,8
40,89,184018,16,11,58,55,46,98,56,0,0,38,95,9
45,77,256649,39,9,58,55,46,18,56,0,0,40,95,8
44,77,160323,39,9,62,23,65,18,56,0,0,40,95,8
20,54,350845,87,10,62,11,70,98,34,0,0,10,95,8
33,77,267404,39,9,58,23,100,98,34,0,0,40,95,8
23,77,35633,87,10,62,82,65,98,56,0,0,40,95,8
46,85,80914,60,14,25,31,65,98,56,0,0,30,95,8
38,77,172927,39,9,58,82,46,98,56,0,0,50,95,8
54,77,174319,39,9,25,93,65,98,56,0,0,40,95,8
46,77,214955,5,3,25,23,65,98,34,0,2339,45,95,8
25,77,344991,87,10,58,23,46,98,56,0,0,40,95,8
46,77,108699,87,10,25,82,65,98,34,0,0,40,95,8
36,54,117312,87,10,58,93,100,98,34,0,0,40,95,8
23,77,396099,39,9,62,68,65,98,34,0,0,25,95,8
29,77,134152,39,9,86,55,65,98,56,0,0,40,95,8
44,77,162028,87,10,58,11,100,98,34,0,2415,6,95,9
19,77,25429,87,10,62,11,70,98,34,0,0,16,95,8
19,77,232392,39,9,62,68,67,98,34,0,0,40,95,8
35,77,220098,39,9,58,68,100,98,34,0,0,40,95,9
27,77,301302,17,13,62,23,65,98,56,0,0,50,95,8
46,85,277946,15,12,86,23,65,98,56,0,0,40,95,8
34,89,98101,17,13,58,31,46,98,56,7688,0,45,10,9
34,77,196164,39,9,62,68,65,98,34,0,0,35,95,8
44,77,115562,87,10,58,91,46,98,56,0,0,40,95,8
45,77,96975,87,10,25,41,96,98,34,0,0,40,95,8
20,10,137300,39,9,62,10,67,98,34,0,0,35,95,8
25,77,86872,17,13,58,31,46,98,56,0,0,55,95,9
52,84,132178,17,13,58,31,46,98,56,0,0,50,95,9
20,77,416103,87,10,62,41,70,98,56,0,0,40,95,8
28,77,108574,87,10,62,68,65,98,34,0,0,40,95,8
50,89,288353,17,13,58,80,46,98,56,0,0,40,95,9
34,77,227689,16,11,25,91,65,98,34,0,0,64,95,8
28,77,166481,6,4,58,41,46,66,56,0,2179,40,81,8
41,77,445382,60,14,58,31,46,98,56,0,1977,65,95,9
28,77,110145,39,9,58,11,46,98,56,0,0,40,95,8
46,85,317253,39,9,58,23,46,98,56,0,0,25,95,8
28,10,123147,87,10,58,10,100,98,34,0,1887,40,95,9
32,77,364657,87,10,58,31,46,98,56,0,0,50,95,8
41,54,42346,87,10,25,68,65,18,34,0,0,24,95,8
24,77,241951,39,9,62,41,96,18,34,0,0,40,95,8
33,77,118500,87,10,25,31,96,98,34,0,0,40,95,8
46,77,188386,26,16,58,31,46,98,56,15024,0,60,95,9
31,89,1033222,87,10,58,55,46,98,56,0,0,40,95,8
35,77,92440,3,8,25,23,65,98,56,0,0,50,95,9
52,77,190762,4,2,58,55,46,98,56,0,0,40,61,8
30,77,426017,2,7,62,68,70,98,34,0,0,19,95,8
34,54,243867,2,7,86,55,65,18,56,0,0,40,95,8
34,89,240283,39,9,25,93,96,98,34,0,0,40,95,8
20,77,61777,87,10,58,82,46,98,56,0,0,30,95,8
17,77,175024,2,7,62,41,70,98,56,2176,0,18,95,8
32,89,92003,17,13,58,31,100,98,34,0,0,40,95,9
29,77,188401,39,9,25,32,65,98,56,0,0,40,95,8
33,77,228528,1,6,62,23,96,98,34,0,0,35,95,8
25,77,133373,39,9,58,93,46,98,56,0,0,60,95,8
36,33,255191,60,14,62,79,65,98,56,0,1408,40,95,8
23,77,204653,39,9,62,41,65,98,56,0,0,72,27,8
63,84,222289,39,9,58,31,46,98,56,0,0,40,95,9
47,54,287480,60,14,58,79,46,98,56,0,0,40,95,8
80,10,107762,39,9,99,10,65,98,56,0,0,24,95,8
17,10,202521,2,7,62,10,70,98,56,0,0,40,95,8
40,85,204116,17,13,59,79,65,98,34,2174,0,40,95,8
30,77,29662,15,12,58,68,100,98,34,0,0,25,95,9
27,77,116358,87,10,62,23,70,14,56,0,1980,40,72,8
33,77,208405,60,14,58,79,46,98,56,0,0,50,95,9
34,54,284843,39,9,62,32,65,18,56,594,0,60,95,8
34,54,117018,87,10,62,80,65,98,34,0,0,40,95,8
23,77,81281,87,10,58,11,46,98,56,0,0,40,95,8
42,54,340148,87,10,58,11,100,98,34,0,0,40,95,8
29,77,363425,17,13,62,79,65,98,56,0,0,40,95,8
45,77,45857,39,9,25,11,65,98,34,0,0,28,95,8
24,33,191073,39,9,62,13,70,98,56,0,0,40,95,8
44,77,116632,87,10,58,79,46,98,56,0,0,40,95,9
27,77,405855,7,5,62,23,67,98,56,0,0,40,61,8
